model_06/08_12:19 epoch : 4 ,Train_Acc: 0.74 ,Val_Acc: 0.78 ,Train_Loss: 0.1591 ,Val_Loss: 0.1532
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.8 ,Val_Acc: 0.78 ,Train_Loss: 0.1295 ,Val_Loss: 0.1596
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.8 ,Val_Acc: 0.79 ,Train_Loss: 0.1595 ,Val_Loss: 0.1379
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.68 ,Val_Acc: 0.78 ,Train_Loss: 0.1758 ,Val_Loss: 0.1555
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.88 ,Val_Acc: 0.82 ,Train_Loss: 0.1151 ,Val_Loss: 0.1304
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.8 ,Val_Acc: 0.79 ,Train_Loss: 0.1426 ,Val_Loss: 0.1254
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.74 ,Val_Acc: 0.72 ,Train_Loss: 0.1547 ,Val_Loss: 0.1736
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.78 ,Val_Acc: 0.83 ,Train_Loss: 0.1304 ,Val_Loss: 0.1209
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.76 ,Val_Acc: 0.78 ,Train_Loss: 0.1438 ,Val_Loss: 0.1524
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.86 ,Val_Acc: 0.77 ,Train_Loss: 0.1216 ,Val_Loss: 0.1515
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.82 ,Val_Acc: 0.77 ,Train_Loss: 0.1122 ,Val_Loss: 0.1517
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.84 ,Val_Acc: 0.87 ,Train_Loss: 0.1227 ,Val_Loss: 0.1065
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.88 ,Val_Acc: 0.79 ,Train_Loss: 0.104 ,Val_Loss: 0.1323
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.8 ,Val_Acc: 0.78 ,Train_Loss: 0.1214 ,Val_Loss: 0.1498
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.74 ,Val_Acc: 0.77 ,Train_Loss: 0.1873 ,Val_Loss: 0.1754
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.8 ,Val_Acc: 0.79 ,Train_Loss: 0.1445 ,Val_Loss: 0.1418
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.84 ,Val_Acc: 0.7 ,Train_Loss: 0.1307 ,Val_Loss: 0.2075
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.84 ,Val_Acc: 0.66 ,Train_Loss: 0.1359 ,Val_Loss: 0.2069
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.84 ,Val_Acc: 0.77 ,Train_Loss: 0.1093 ,Val_Loss: 0.1565
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.88 ,Val_Acc: 0.8 ,Train_Loss: 0.0731 ,Val_Loss: 0.1555
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.8 ,Val_Acc: 0.78 ,Train_Loss: 0.1222 ,Val_Loss: 0.1681
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.76 ,Val_Acc: 0.7 ,Train_Loss: 0.133 ,Val_Loss: 0.1868
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.84 ,Val_Acc: 0.82 ,Train_Loss: 0.1094 ,Val_Loss: 0.137
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.78 ,Val_Acc: 0.84 ,Train_Loss: 0.1349 ,Val_Loss: 0.1233
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.82 ,Val_Acc: 0.78 ,Train_Loss: 0.1284 ,Val_Loss: 0.1669
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.84 ,Val_Acc: 0.71 ,Train_Loss: 0.1384 ,Val_Loss: 0.1893
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.86 ,Val_Acc: 0.74 ,Train_Loss: 0.1226 ,Val_Loss: 0.1776
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.78 ,Val_Acc: 0.78 ,Train_Loss: 0.1202 ,Val_Loss: 0.155
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.82 ,Val_Acc: 0.81 ,Train_Loss: 0.1403 ,Val_Loss: 0.1517
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.8 ,Val_Acc: 0.7 ,Train_Loss: 0.1337 ,Val_Loss: 0.1987
model_06/08_12:19 epoch : 5 ,Train_Acc: 0.78 ,Val_Acc: 0.81 ,Train_Loss: 0.1228 ,Val_Loss: 0.1402
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.76 ,Val_Acc: 0.75 ,Train_Loss: 0.1293 ,Val_Loss: 0.1654
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.86 ,Val_Acc: 0.75 ,Train_Loss: 0.1047 ,Val_Loss: 0.1776
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.84 ,Val_Acc: 0.83 ,Train_Loss: 0.1 ,Val_Loss: 0.1346
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.8 ,Val_Acc: 0.79 ,Train_Loss: 0.1304 ,Val_Loss: 0.1598
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.9 ,Val_Acc: 0.86 ,Train_Loss: 0.0943 ,Val_Loss: 0.118
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.84 ,Val_Acc: 0.81 ,Train_Loss: 0.1127 ,Val_Loss: 0.1303
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.86 ,Val_Acc: 0.73 ,Train_Loss: 0.1312 ,Val_Loss: 0.2031
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.84 ,Val_Acc: 0.77 ,Train_Loss: 0.127 ,Val_Loss: 0.1542
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.86 ,Val_Acc: 0.68 ,Train_Loss: 0.1161 ,Val_Loss: 0.2241
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.86 ,Val_Acc: 0.73 ,Train_Loss: 0.1197 ,Val_Loss: 0.1924
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.88 ,Val_Acc: 0.75 ,Train_Loss: 0.0842 ,Val_Loss: 0.1743
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.92 ,Val_Acc: 0.82 ,Train_Loss: 0.0614 ,Val_Loss: 0.1322
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.78 ,Val_Acc: 0.79 ,Train_Loss: 0.1232 ,Val_Loss: 0.1442
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.86 ,Val_Acc: 0.76 ,Train_Loss: 0.1123 ,Val_Loss: 0.1646
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.9 ,Val_Acc: 0.81 ,Train_Loss: 0.0964 ,Val_Loss: 0.128
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.84 ,Val_Acc: 0.73 ,Train_Loss: 0.106 ,Val_Loss: 0.1735
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.84 ,Val_Acc: 0.74 ,Train_Loss: 0.1084 ,Val_Loss: 0.1694
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.8 ,Val_Acc: 0.72 ,Train_Loss: 0.1453 ,Val_Loss: 0.1667
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.88 ,Val_Acc: 0.71 ,Train_Loss: 0.0926 ,Val_Loss: 0.2151
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.9 ,Val_Acc: 0.73 ,Train_Loss: 0.0923 ,Val_Loss: 0.1822
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.84 ,Val_Acc: 0.69 ,Train_Loss: 0.1335 ,Val_Loss: 0.2212
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.82 ,Val_Acc: 0.81 ,Train_Loss: 0.1083 ,Val_Loss: 0.1518
model_06/08_12:19 epoch : 6 ,Train_Acc: 0.86 ,Val_Acc: 0.83 ,Train_Loss: 0.1044 ,Val_Loss: 0.129
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.82 ,Val_Acc: 0.77 ,Train_Loss: 0.0956 ,Val_Loss: 0.1738
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.75 ,Train_Loss: 0.1108 ,Val_Loss: 0.1729
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.92 ,Val_Acc: 0.79 ,Train_Loss: 0.097 ,Val_Loss: 0.1148
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.88 ,Val_Acc: 0.71 ,Train_Loss: 0.1035 ,Val_Loss: 0.1997
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.9 ,Val_Acc: 0.81 ,Train_Loss: 0.0816 ,Val_Loss: 0.1494
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.74 ,Train_Loss: 0.1208 ,Val_Loss: 0.2046
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.92 ,Val_Acc: 0.78 ,Train_Loss: 0.0974 ,Val_Loss: 0.1408
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.73 ,Train_Loss: 0.1159 ,Val_Loss: 0.1881
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.82 ,Val_Acc: 0.81 ,Train_Loss: 0.1222 ,Val_Loss: 0.144
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.88 ,Val_Acc: 0.76 ,Train_Loss: 0.1092 ,Val_Loss: 0.1852
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.88 ,Val_Acc: 0.83 ,Train_Loss: 0.0743 ,Val_Loss: 0.1285
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.96 ,Val_Acc: 0.72 ,Train_Loss: 0.0433 ,Val_Loss: 0.1794
